Drawing Type	BILL OF MATERIALS	Page 1 of 1				
		Drawing Title	ETS-88,CIB-HP,6DBV,FR-4,TI PROD		DFR(Design For Reliability) Summary	FAIL		
		Drawing Number	6619310					
		Assembly Revision	B					
		ECR Number						
		Engineer						
		Release Person						
		Release Date						
		FLYING PROBE TEST EXIST FOR THIS BOARD REVISION						
ITEM	QTY	MFG	MFG PART#	REF DES	DESCRIPTION	DNI	STATUS	MAX_TEMP
		TESSOLVE TURNKEY						
	REF	SVTRONICS	6619310B		ASSEMBLY			
	REF	-	6619310B		SCHEMATIC			
29	0	NEWARK IGNORE_REF ONLY	INTLK_JMP	R_SIGINTLK_BOT,R_SIGINTLK_TOP	INTERLOCK POGO BLOCK FOOTPRINT, 2-PIN	TRUE	GREEN	
30	1	TEXAS INSTRUMENTS	CDCLVC1102PWR	U1_TMU	IC, LVCMOS HIGH-PERFORMANCE CLOCK BUFFER FAMILY, TSSOP-8, PW		GREEN	85
31	1	TEXAS INSTRUMENTS	TLV3502AQDCNRQ1	U2_TMU	IC, RAIL-TO-RAIL HIGH-SPEED COMPARATOR, SOT-23-8, DCN		GREEN	125
32	1	TEXAS INSTRUMENTS	TDC7201ZAX	U3_TMU	IC, TIME-TO-DIGITAL COVERTER, NFBGA-25, ZAX		GREEN	85
33	1	TEXAS INSTRUMENTS	TLV73333PQDRVRQ1	U4_TMU	IC, CAPACITOR-FREE, LOW DROPOUT (LDO) LINEAR REGULATOR, WSON-6, AEC-Q100, DRV		GREEN	125
34	2	TEXAS INSTRUMENTS	SN74LVC3G17DCUR	U5_TMU,U6_TMU	IC, TRIPLE SCHMITT-TRIGGER BUFFER, SSOP-8, DCU		GREEN	125
35	1	SENSIRION	STS-31-DIS	U45_TEMP_SENSOR	IC, HIGH-ACCURACY DIGITAL TEMPERATURE SENSOR, DFN-8		RED	125
36	2	TEXAS INSTRUMENTS	TMP117AIDRVR	U46_TEMP_SENSOR,U47_TEMP_SENSOR	IC, HIGH-ACCURACY, LOW-POWER, DIGITALTEMPERATURE SENSOR WITH SMBUS-AND I2C-COMPATIBLE INTERFACE, WSON-6, DRV		GREEN	150
37	1	ON SEMICONDUCTOR	CAT24C04WI-G	U99_ID	IC, 4-KB I2C CMOS SERIAL EEPROM 1.7-5.5V, SOIC-8		GREEN	85
38	1	CONNOR WINFIELD	M100F-010.0M	Y201	OSC, TEMPERATURE COMPENSATED, 10MHZ, 15PF, SMD, 4-PIN		GREEN	70
39	40	OMRON	G3VM-101QR1(TR05)	K1_1,K1_2,K1_3,K1_4,K1_5,K1_6,K2_1,K2_2,K2_3,K2_4,K2_5,K2_6,K2_LOAD,K3_LOAD,K4_LOAD,K5_1,K5_2,K5_3,K5_4,K5_5,K5_6,K5_LOAD,K6_1,K6_2,K6_3,K6_4,K6_5,K6_6,K10_1,K10_2,K10_3,K10_4,K10_5,K10_6,K16_1,K16_2,K16_3,K16_4,K16_5,K16_6	RELAY, 1 FORM A, MOSFET RELAY, 100V, 4-PIN		GREEN	110
40	72	PICKERING RELAY	120-1-A-5/1	K1_1UF,K1_DC,K1_LOAD,K3_0P1UF,K3_1,K3_2,K3_3,K3_4,K3_5,K3_6,K4_1,K4_2,K4_3,K4_4,K4_5,K4_6,K5_ZENER,K6_LOAD,K7_1_B0,K7_2_B0,K7_LOAD,K8_LOAD,K9_1,K9_2,K9_3,K9_4,K9_5,K9_6,K9_31,K9_32,K9_LOAD,K10_LOAD,K10_TMU,K11_1,K11_2,K11_3,K11_4,K11_5,K11_6,K11_LOAD,K11_TMU,K12_1,K12_2,K12_3,K12_4,K12_5,K12_6,K15_1,K15_2,K15_3,K15_4,K15_5,K15_6,K18A_1,K18A_2,K18A_3,K18A_4,K18A_5,K18A_6,K18B_1,K18B_2,K18B_3,K18B_4,K18B_5,K18B_6,K18C_1,K18C_2,K18C_3,K18C_4,K18C_5,K18C_6,K_AGND_SYSGND	RELAY, 1 FORM A, REED RELAY, 5V, 4-PIN		YELLOW	85
41	18	OMRON	G3VM-41QR10	K5_TMU,K6_TMU,K7_TMU,K8_TMU,K23_TMU,K24_TMU,K25_TMU,K26_TMU,K27_TMU,K28_TMU,K29_TMU,K30_TMU,K31_TMU,K32_TMU,K39_TMU,K40_TMU,K41_TMU,K42_TMU	RELAY, 1 FORM A, MOSFET RELAY, 40V, 4-PIN, S-VSON		YELLOW	110
